From,Type,To
1085,LOGS_TO,0
1110,LOGS_TO,0
1119,LOGS_TO,0
1066,LOGS_TO,0
1128,LOGS_TO,0
1074,LOGS_TO,0
1075,LOGS_TO,0
1092,LOGS_TO,0
1058,LOGS_TO,0
1065,LOGS_TO,0
1056,LOGS_TO,0
1102,LOGS_TO,0
1095,LOGS_TO,0
1076,LOGS_TO,0
1092,LOGS_TO,0
1110,LOGS_TO,0
1096,LOGS_TO,0
1135,LOGS_TO,0
1147,LOGS_TO,0
1074,LOGS_TO,0
1059,LOGS_TO,0
1090,LOGS_TO,0
1121,LOGS_TO,0
1063,LOGS_TO,0
1124,LOGS_TO,0
1081,LOGS_TO,0
1107,LOGS_TO,0
1076,LOGS_TO,0
1139,LOGS_TO,0
1128,LOGS_TO,0
1067,LOGS_TO,0
1124,LOGS_TO,0
1056,LOGS_TO,0
1092,LOGS_TO,0
1119,LOGS_TO,0
1122,LOGS_TO,0
1083,LOGS_TO,0
1117,LOGS_TO,0
1134,LOGS_TO,0
1066,LOGS_TO,0
1117,LOGS_TO,0
1122,LOGS_TO,0
1053,LOGS_TO,0
1058,LOGS_TO,0
1139,LOGS_TO,0
1083,LOGS_TO,0
1140,LOGS_TO,0
1066,LOGS_TO,0
1091,LOGS_TO,0
1057,LOGS_TO,0
1051,LOGS_TO,0
1054,LOGS_TO,0
1136,LOGS_TO,0
1078,LOGS_TO,0
1114,LOGS_TO,0
1064,LOGS_TO,0
1094,LOGS_TO,0
1118,LOGS_TO,0
1140,LOGS_TO,0
1103,LOGS_TO,0
1119,LOGS_TO,0
1114,LOGS_TO,0
1095,LOGS_TO,0
1077,LOGS_TO,0
1061,LOGS_TO,0
1132,LOGS_TO,0
1060,LOGS_TO,0
1109,LOGS_TO,0
1097,LOGS_TO,0
1114,LOGS_TO,0
1095,LOGS_TO,0
1101,LOGS_TO,0
1081,LOGS_TO,0
1135,LOGS_TO,0
1121,LOGS_TO,0
1136,LOGS_TO,0
1101,LOGS_TO,0
1091,LOGS_TO,0
1079,LOGS_TO,0
1142,LOGS_TO,0
1137,LOGS_TO,0
1088,LOGS_TO,0
1118,LOGS_TO,0
1147,LOGS_TO,0
1079,LOGS_TO,0
1095,LOGS_TO,0
1084,LOGS_TO,0
1069,LOGS_TO,0
1132,LOGS_TO,0
1110,LOGS_TO,0
1072,LOGS_TO,0
1062,LOGS_TO,0
1056,LOGS_TO,0
1121,LOGS_TO,0
1078,LOGS_TO,0
1068,LOGS_TO,0
1100,LOGS_TO,0
1065,LOGS_TO,0
1081,LOGS_TO,0
1107,LOGS_TO,0
1128,P_INPUT_TO_S,810
1140,P_INPUT_TO_S,278
1130,P_INPUT_TO_S,525
1055,P_INPUT_TO_S,651
1146,P_INPUT_TO_S,975
1065,P_INPUT_TO_S,512
1093,P_INPUT_TO_S,509
1132,P_INPUT_TO_S,532
1099,P_INPUT_TO_S,153
1111,P_INPUT_TO_S,433
1146,P_INPUT_TO_S,304
1066,P_INPUT_TO_S,399
1144,P_INPUT_TO_S,248
1058,P_INPUT_TO_S,344
1136,P_INPUT_TO_S,112
1134,P_INPUT_TO_S,629
1060,P_INPUT_TO_S,435
1089,P_INPUT_TO_S,368
1079,P_INPUT_TO_S,408
1130,P_INPUT_TO_S,904
1108,P_INPUT_TO_S,133
1132,P_INPUT_TO_S,282
1064,P_INPUT_TO_S,253
1096,P_INPUT_TO_S,258
1054,P_INPUT_TO_S,190
1115,P_INPUT_TO_S,673
1143,P_INPUT_TO_S,520
1105,P_INPUT_TO_S,162
1108,P_INPUT_TO_S,899
1144,P_INPUT_TO_S,504
1116,P_INPUT_TO_S,366
1133,P_INPUT_TO_S,317
1115,P_INPUT_TO_S,762
1087,P_INPUT_TO_S,730
1061,P_INPUT_TO_S,935
1121,P_INPUT_TO_S,813
1084,P_INPUT_TO_S,117
1150,P_INPUT_TO_S,290
1086,P_INPUT_TO_S,237
1115,P_INPUT_TO_S,949
1143,P_INPUT_TO_S,825
1111,P_INPUT_TO_S,684
1139,P_INPUT_TO_S,653
1069,P_INPUT_TO_S,342
1102,P_INPUT_TO_S,240
1109,P_INPUT_TO_S,333
1145,P_INPUT_TO_S,269
1095,P_INPUT_TO_S,906
1058,P_INPUT_TO_S,564
1115,P_INPUT_TO_S,90
1059,P_INPUT_TO_S,548
1119,P_INPUT_TO_S,903
1137,P_INPUT_TO_S,553
1075,P_INPUT_TO_S,609
1082,P_INPUT_TO_S,449
1070,P_INPUT_TO_S,551
1059,P_INPUT_TO_S,219
1053,P_INPUT_TO_S,761
1111,P_INPUT_TO_S,176
1075,P_INPUT_TO_S,613
1077,P_INPUT_TO_S,826
1109,P_INPUT_TO_S,899
1142,P_INPUT_TO_S,198
1148,P_INPUT_TO_S,960
1072,P_INPUT_TO_S,14
1133,P_INPUT_TO_S,595
